Géométrie avancée -- Intégration des formes différentielles de degré maximal
Shuffle questions : True
Q/R & R/Q : False
\usepackage[nopar]{analyse}\DeclareMathOperator{\oldom}{\oldOmega}\newcommand{\om}[1]{\oldom_{#1}}\newcommand{\fd}[2][]{\oldom^{#1}\l#2\r}\newcommand{\fdc}[2][]{\oldom_c^{#1}\l#2\r}\DeclareMathOperator{\oldsupp}{supp}\def\supp#1{\oldsupp\l#1\r}
Forme volume;;Section globale de $\fd[n]M$ qui ne s'annule jamais
CNS pour qu'une variété différentielle $M$ soit orientable;;$M$ admet une forme volume
Intégrale de $\omega\in\fd[n]U$ pour $U$ un ouvert de $M$;;Si $\omega=f\dd x_1\wedge\cdots\wedge\dd x_n$ avec $f\in\calC^\infty\l U,\bbR\r$\linebreak Si $f\in L^1\l U,\bbR\r$ alors $\int[][U]\omega=\int[x_1{\cdots}\dd x_n][U]f$
Formule de changement de variable pour l'intégrale sur des ouverts;;Si $\psi\!:\!U\to V$ est un difféomorphisme et $U$ est connexe alors $\int[][V]{\psi^*\omega}=\pm\int[][U]\omega$\linebreak Le signe est défini suivant que $\psi$ préserve ou non l'orientation
$\supp\omega$ pour $\omega\in\fd M$;;$\overline{\set{x\in M,\omega_x\neq0}}$\linebreak On note $\fdc M$ les formes différentielles sur $M$ à support compact
Intégrale sur une variété $M$;;Si $M$ est une variété différentielle orientée de dimension $n$ alors il existe une unique forme linéaire $\oldint_M\!:\!\fdc[n]M\to\bbR$ continue telle que, pour tout $\l U,\phi\r$ ouvert de carte de l'atlas maximal d'orientation et tout $\omega\in\fdc[n]M$ telle que $\supp\omega\subset U$, $\int[][M]\omega=\int[][\phi^{-1}\l U\r]{\l\phi^{-1}\r^*\omega}$
Formule de changement de variables pour l'intégrale sur des variétés;;Soient $M$ et $N$ deux variétés orientées de dimension $n$ et $f\!:\!M\to N$ un difféomorphisme qui préserve l'orientation alors, pour tout $\omega\in\fdc[n]M$, $\int[][N]\omega=\int[][M]{f^*\omega}$
Intégration sur des parties compactes d'une variété;;Si $M$ est une variété différentielle orientée de dimension $n$ et $K\subset M$ est compact alors il existe une unique forme linéaire $\oldint_K\!:\!\fd[n]M\to\bbR$ continue telle que, pour tout $\l U,\phi\r$ ouvert de carte de l'atlas maximal d'orientation et tout $\omega\in\fdc[n]M$ telle que $\supp\omega\subset U$, $\int[][K]\omega=\int[][\phi^{-1}\l K\r]{\l\phi^{-1}\r^*\omega}$
CS pour avoir ${\int[][K\cup L]{}}={\int[][K]{}}+{\int[][L]{}}$ pour $K$ et $L$ deux parties compactes de $M$;;$K\cap L$ est négligeable
$D\subset M$ est un domaine régulier;;$D=\overline{\mathring D}$ et $\partial D=\varnothing$ ou $\partial D$ est une sous-variété de $M$ de codimension $1$
Formule de Stokes;;Si $M$ est une variété différentielle orientée de dimension $n$ et $D\subset M$ est un domaine régulier avec son bord $\partial D$ (éventuellement vide) muni de l'orientation induite par celle de $M$, et si $\alpha\in\fd[n-1]M$ alors $\int[][D]{\dd\alpha}=\int[][\partial D]\alpha$
